ucc,ucc_title,subcategory_code,domain_label,mapping_status,computation_node,destination_eli_count,destination_elis,destination_nodes,exception_reason,bls_multi_eli_footnote
250913,Other Fuels Ownv,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HE021,HOUSEHOLD_ENERGY,,false
250914,Other Fuels Rntv,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HE021,HOUSEHOLD_ENERGY,,false
260111,Electricity Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HF011,HOUSEHOLD_ENERGY,,false
260112,Electricity Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HF011,HOUSEHOLD_ENERGY,,false
260113,Electricity Ownv,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HF011,HOUSEHOLD_ENERGY,,false
260114,Electricity Rntv,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HF011,HOUSEHOLD_ENERGY,,false
260211,Utility--Natural Gas Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HF021,HOUSEHOLD_ENERGY,,false
260212,Utility--Natural Gas Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HF021,HOUSEHOLD_ENERGY,,false
260213,Utility--Natural Gas Ownv,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HF021,HOUSEHOLD_ENERGY,,false
260214,Utility--Natural Gas Rntv,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HF021,HOUSEHOLD_ENERGY,,false
270102,Cellular Phone Service,HOUSING,Housing,MULTI_SAME_NODE,EDUCATION_COMMUNICATION,2,ED031|EE041,EDUCATION_COMMUNICATION,,true
270104,Phone cards,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
270106,Residential Telephone Incl Voip,HOUSING,Housing,DIRECT,EDUCATION_COMMUNICATION,1,ED041,EDUCATION_COMMUNICATION,,false
270211,Water And Sewerage Maint Rntr,HOUSING,Housing,DIRECT,WATER_SEWER_TRASH,1,HG011,WATER_SEWER_TRASH,,false
270212,Water And Sewerage Maint Ownd,HOUSING,Housing,DIRECT,WATER_SEWER_TRASH,1,HG011,WATER_SEWER_TRASH,,false
270213,Water And Sewerage Maint Ownv,HOUSING,Housing,DIRECT,WATER_SEWER_TRASH,1,HG011,WATER_SEWER_TRASH,,false
270214,Water And Sewerage Maint Rntv,HOUSING,Housing,DIRECT,WATER_SEWER_TRASH,1,HG011,WATER_SEWER_TRASH,,false
270411,Trash/Garbage Collect Rntr,HOUSING,Housing,DIRECT,WATER_SEWER_TRASH,1,HG021,WATER_SEWER_TRASH,,false
270412,Trash/Garbage Collect Ownd,HOUSING,Housing,DIRECT,WATER_SEWER_TRASH,1,HG021,WATER_SEWER_TRASH,,false
270413,Trash/Garbage Collect Ownv,HOUSING,Housing,DIRECT,WATER_SEWER_TRASH,1,HG021,WATER_SEWER_TRASH,,false
270414,Trash/Garbage Collect Rntv,HOUSING,Housing,DIRECT,WATER_SEWER_TRASH,1,HG021,WATER_SEWER_TRASH,,false
270901,Septic Tank Cleaning Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HP090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
270902,Septic Tank Cleaning Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HP090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
270903,Septic tank cleaning (owned vacation),HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
270904,Septic tank cleaning (rented vacation),HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
270906,Septic tank cleaning (renter),HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
270907,Septic Tank Cleaning Ownr,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HP090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
280110,Bathroom Linens,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HH031,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
280120,Bedroom Linens,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HH032,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
280140,Kitchen/Dining Room/Othr Linens,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HH033,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
280210,Curtains And Drapes,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HH021,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
280220,Slipcovers/Decorative Pillows,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HJ021,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
290110,Mattress And Springs,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HJ011,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
290120,Other Bedroom Furniture,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HJ012,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
290210,Sofas,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HJ021,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
290310,Living Room Chairs,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HJ022,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
290320,Living Room Tables,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HJ023,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
290410,Kitchen/Dining Room Furniture,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HJ024,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
290420,Infants Furniture,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HJ031,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
290430,Outdoor Furniture,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HJ032,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
290440,"Wall Units, Cabinets, Occas Furn",HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HJ033,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
300111,Purch/Inst Refrig/Freezer Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HK011,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
300112,Purch/Inst Refrig/Freezer Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HK011,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
