ucc	eli	ucc_title	eli_title	ce_source	multi_eli_footnote
450352	TA031	Tradein Allow For Car/Truck Lease	Vehicle Leasing	I	false
450353	TA031	Cash Dwnpymnt For Car/Truck Lease	Vehicle Leasing	I	false
450354	TA031	Termntion Fee For Car/Truck Lease	Vehicle Leasing	I	false
450900	TA090	Aircraft	Unsampled New And Used Motor Vehicles	I	false
460110	TA021	Used Cars	Used Cars And Trucks	I	false
460901	TA021	Used Trucks	Used Cars And Trucks	I	false
460902	TA090	Used Motorcycles	Unsampled New And Used Motor Vehicles	I	false
460903	TA090	Used Aircraft	Unsampled New And Used Motor Vehicles	I	false
470111	TB011	Gasoline	Regular Unleaded Gasoline	I	true
470111	TB012	Gasoline	Mid-Grade Unleaded Gasoline	I	true
470111	TB013	Gasoline	Premium Unleaded Gasoline	I	true
470111	TB021	Gasoline	Automotive Diesel Fuel	I	true
470111	TB022	Gasoline	Alternative Motor Fuels	I	true
470112	TB021	Diesel Fuel	Automotive Diesel Fuel	I	false
470113	TB011	Gasoline On Out Of Town Trips	Regular Unleaded Gasoline	I	true
470113	TB012	Gasoline On Out Of Town Trips	Mid-Grade Unleaded Gasoline	I	true
470113	TB013	Gasoline On Out Of Town Trips	Premium Unleaded Gasoline	I	true
470113	TB021	Gasoline On Out Of Town Trips	Automotive Diesel Fuel	I	true
470113	TB022	Gasoline On Out Of Town Trips	Alternative Motor Fuels	I	true
470211	TC022	Motoroil	Motor Oil, Coolant And Fluids	I	false
470212	TC022	Motor Oil On Out Of Town Trips	Motor Oil, Coolant And Fluids	I	false
470220	TC022	Coolant/Additives/Brk/Trns Fld	Motor Oil, Coolant And Fluids	I	false
480100	TC021	Veh Parts/Acc/Fluids Excl Tires	Vehicle Parts And Equipment Other Than Tires	I	true
480100	TC022	Veh Parts/Acc/Fluids Excl Tires	Motor Oil, Coolant And Fluids	I	true
480110	TC011	Tires Purchased/Replaced/Install	Tires	I	false
480213	TC021	Parts/Equip/Accessories	Vehicle Parts And Equipment Other Than Tires	I	false
490100	TD011	Vehicle Maint/Rep Excl Tire Purch	Motor Vehicle Body Work	I	true
490100	TD021	Vehicle Maint/Rep Excl Tire Purch	Motor Vehicle Maintenance And Servicing	I	true
490100	TD031	Vehicle Maint/Rep Excl Tire Purch	Motor Vehicle Repair	I	true
490900	TD090	Auto Repair Service Policy	Unsampled Vehicle Maintenance And Repair	I	false
500110	TE011	Vehicle Insurance	Motor Vehicle Insurance	I	false
510115	TF011	Veh Registration Incl Prop Tax	State Vehicle Registration And Driver's License	I	false
520310	TF011	Drivers License	State Vehicle Registration And Driver's License	I	false
520410	TD021	Vehicle Inspection	Motor Vehicle Maintenance And Servicing	I	false
520516	TA041	Auto/Truck Rental	Automobile And Truck Rental	I	false
520517	TA041	Auto/Truck Rental Out-Of-Town Trp	Automobile And Truck Rental	I	false
520531	TF031	Prkng Fee In Hme City Excl Rsdnc	Parking fees, tolls, and other fees	I	false
520532	TF031	Parking Fees, Out-Of-Town Trip	Parking fees, tolls, and other fees	I	false
520541	TF031	Tolls Or Electronic Toll Passes	Parking fees, tolls, and other fees	I	false
520542	TF031	Tolls On Out-Of-Town Trips	Parking fees, tolls, and other fees	I	false
520550	TD021	Towing Charges	Motor Vehicle Maintenance And Servicing	I	false
520901	TF090	Docking/Landing Fees	Unsampled Motor Vehicle Fees	I	false
520902	TA090	Motorcycle Rental	Unsampled New And Used Motor Vehicles	I	false
520903	TA090	Aircraft Rental	Unsampled New And Used Motor Vehicles	I	false
520904	TA090	Rental Non-Camper Trailer	Unsampled New And Used Motor Vehicles	I	false
520905	TA090	Motorcycle Rental Out-Of-Town	Unsampled New And Used Motor Vehicles	I	false
520906	TA090	Aircraft Rental/Out-Of-Town Tr	Unsampled New And Used Motor Vehicles	I	false
520907	RC090	Boat/Trailer Rent Out Of Town	Unsampled Sporting Goods	I	false
530110	TG011	Airline Fares	Airline Fares	I	false
530210	TG021	Intercity Bus Fares	Intercity Bus Fares	I	false
530311	TG031	Intracity Mass Transit Fares	Intracity Mass Transit	I	false
530312	TG031	Local Trans. Out Of Town Trips	Intracity Mass Transit	I	false
530411	TG032	Taxi Fares On Trips	Vehicle for hire	I	false
530412	TG032	Taxi Fares And Limousine Service	Vehicle for hire	I	false
530510	TG022	Intercity Train Fares	Intercity Train Fares	I	false
530901	TG023	Ship Fares	Cruise fares	I	false
530902	TG090	School Bus	Unsampled Public Transportation	I	false
540000	MF011	Prescription Drugs	Prescription Drugs	I	false
550110	MC031	Eyeglasses And Contact Lenses	Eyeglasses And Eyecare	I	false
550210	MF021	Over-The-Counter Drugs	Nonprescription Drugs	D	false
