ucc,status,exclusion_reason,provenance_class,ce_source,dmi_node,all_cu_published_mean,magnitude_stratum,annualization_factor
140210,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
140219,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,73.0,,
140220,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
140230,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
140310,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
140320,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
140330,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
140340,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
140349,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,62.0,,
140410,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
140420,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
150110,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,162.0,,
150211,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
150212,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
150219,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,25.0,,
150310,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,43.0,,
160110,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
160211,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,57.0,,
160212,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,41.0,,
160310,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
160320,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,27.0,,
170110,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,95.0,,
170210,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,152.0,,
170310,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
170319,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,137.0,,
170410,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
170510,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
170520,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,51.0,,
170531,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,21.0,,
170532,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
170533,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
170539,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,257.0,,
180110,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,65.0,,
180210,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,67.0,,
180220,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,163.0,,
180310,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,214.0,,
180320,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,67.0,,
